time_s,pos_x_m,pos_z_m,heading_deg,chassis_speed_mps,chassis_accel_mps2,camera_top_speed_mps,camera_top_accel_mps2,camera_top_jerk_mps3,angular_speed_degps
2.3,1.02241,0.3,-90,0.799732,0.39666,0.799732,0.39666,2.22206,0.000116126
2.32,1.00659,0.3,-90,0.790906,0.441274,0.790906,0.441274,2.23071,0.000116094
2.34,0.990969,0.3,-90,0.781197,0.485486,0.781197,0.485486,2.21059,0.000116063
2.36,0.975557,0.3,-90,0.77062,0.528828,0.77062,0.528828,2.16708,0.000116032
2.38,0.960373,0.3,-90,0.759204,0.57078,0.759204,0.57078,2.09764,0.000116002
2.4,0.945433,0.3,-90,0.746985,0.61096,0.746985,0.61096,2.00898,0.000115972
2.42,0.930753,0.3,-90,0.734007,0.648922,0.734007,0.648922,1.89811,0.000115943
2.44,0.916347,0.3,-90,0.720321,0.684309,0.720321,0.684309,1.76937,0.000115913
2.46,0.902227,0.3,-90,0.705985,0.716803,0.705985,0.7168,1.62453,0.000115885
2.48,0.888406,0.3,-90,0.691063,0.746096,0.691063,0.746096,1.46479,0.000115856
2.5,0.874893,0.3,-90,0.675624,0.771937,0.675624,0.771949,1.29268,0.000115828
2.52,0.861698,0.3,-90,0.659742,0.794083,0.659742,0.794074,1.10626,0.000100638
2.54,0.848829,0.3,-90,0.643495,0.812364,0.643495,0.812364,0.914485,0.000100072
2.56,0.836289,0.3,-90,0.626963,0.826609,0.626963,0.826609,0.712276,9.32063E-05
2.58,0.824085,0.3,-90,0.610229,0.836707,0.610229,0.836707,0.504855,9.26982E-05
2.6,0.812217,0.3,-90,0.593378,0.84256,0.593378,0.84256,0.292659,8.9583E-05
2.62,0.800687,0.3,-90,0.576495,0.844133,0.576495,0.844133,0.0786782,8.92362E-05
2.64,0.789494,0.3,-90,0.559667,0.841374,0.559667,0.841374,0.137985,8.78155E-05
2.66,0.778634,0.3,-90,0.542981,0.834334,0.542981,0.834334,0.351966,8.76026E-05
2.68,0.768104,0.3,-90,0.52652,0.823036,0.52652,0.823033,0.565055,8.69497E-05
2.7,0.757897,0.3,-90,0.510369,0.807569,0.510369,0.807572,0.773073,7.92434E-05
2.72,0.748004,0.3,-90,0.494608,0.788051,0.494608,0.788051,0.976026,7.86702E-05
2.74,0.738418,0.3,-90,0.479315,0.764628,0.479315,0.764627,1.17123,7.51783E-05
2.76,0.729127,0.3,-90,0.464566,0.737472,0.464566,0.737475,1.35757,7.47929E-05
2.78,0.720118,0.3,-90,0.450429,0.706812,0.450429,0.70681,1.53326,7.32053E-05
2.8,0.711379,0.3,-90,0.436972,0.672867,0.436972,0.672867,1.69717,7.2973E-05
2.82,0.702894,0.3,-90,0.424253,0.635951,0.424253,0.635949,1.84588,7.22484E-05
